Región,País,Ciudad,Nombre,Ubicación,Tipo,Calificación,Precio,Foto URL
Norteamerica,Estados Unidos,New York,Times Square,"{'lat': 40.7579747, 'lng': -73.9855426}","['tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWpnYswcrNipyOr9HSFkPaLgeG9MURJPoOhy2Y6BoTA0Zh_Co7tsCDW596We_eX_ykZmn998Gy5W7RV9FM_rCq7oxjzx9MIJ42D2PuXp8l7syAa1dmGbK6mGrHgP7VHQJhAwy9T0-NhBZB7PBFh-IoRPcybeRs0aDpVrCghS9Zkrt52Q&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Henry Hudson Bridge,"{'lat': 40.8777134, 'lng': -73.9224308}","['tourist_attraction', 'point_of_interest', 'establishment']",4.2,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWpAsCr3CbahaN6zgb0IRAk41SaejUN5ToRd030kPOraqKS4-EsaMzfnVXQpF81vzElNnCTgBoDlvGzVVnioW4QSllm-B5cJytcxZBqZvxEAtEtCGKPwMD-1NGIggThnZpjolT5P3eZbXfxmnbAUyfVQbDx-sBEB3Bm8s1U44G4Su129&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Lincoln Center for the Performing Arts,"{'lat': 40.7724641, 'lng': -73.9834889}","['tourist_attraction', 'point_of_interest', 'establishment']",4.8,4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWqqUQ4lWY9FE9dphYMdcbn38GKq6Xp6MRy7ekBe9oboX0bYuGrDuG8l0ejxd3jY0XsX_GZPkKCcSkeTkq6x3eYepelPge4-TLEF_JCEc4WNKc7iWUS6FAxlghFMWFXw19j-XTgsa29eTI1eQ2Mj11bDLQUiHxMwggJMmkV6LNwKfuxS&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Radio City Music Hall,"{'lat': 40.75997599999999, 'lng': -73.9799772}","['tourist_attraction', 'point_of_interest', 'establishment']",4.8,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWp2Sg3aHi3rvwoalFdAUWoSiU_c9pEBog4vVp2_x3Ho0BFjtbem_-3v7pI_AO4Gxj-cQ94MGUpDcpapL9uw1cmZ9ydBi67F-srt8_3oX39HH3oJBUIYYpuHH8h_NsUIwvBtcVkChhVnYvdvxpbZ0l4fFHn9-OiKlBzqkjrGAztxAyEK&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Rockefeller Center,"{'lat': 40.7587402, 'lng': -73.9786736}","['tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWruf-zrnVvZ0B1l9VKmlIvcTnA2WtcvhldeO6Q9KQeyzs_cSHM-WpzoAXVu7SGsQ3PSIhDZ-ua_H7c5PM4y1R7SHMCzr2LGOXSAzv8HmB_iGxtdI7IOxWK7OG_7rdkwgDubpFZVAF-vV2XXGQfcE8hnfNf6T52kuSDK07rNGzANmuNX&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Beacon Theatre,"{'lat': 40.7805136, 'lng': -73.9810847}","['tourist_attraction', 'point_of_interest', 'establishment']",4.7,3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWr1DNPZFNUoCL7kdGNbY3nwokNDp0A0-EzaFBZzXBnR8yLnPNfYXRezqbp1D-gCjnnLeqAcwVvVvWgAdlzeA5dMHQC4c3UkxUUddHJ3ila4Kt96giEmISjjy5LXCq9dOIDLeWo7oBYK_4J1019H58F4CYGQDoNbqnZpEj2p51OWgklQ&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,The Museum of Modern Art,"{'lat': 40.7614327, 'lng': -73.97762159999999}","['art_gallery', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWqc1VMmfQ9-b5vE1Vl7vtMMyCtryRH9Z0ktGtGAwqhXIo9OiJH0Uf48fZTvYi10lkkCnL6U2uazU6i0ILZLdRbzFOvO0_jyllJzHURibIsoMzbYmsvEIe9VGyGZ3kn13FYfRYO6ljOw_NjMNUTYdR-whBJ-9biGpJ33K42B9npafkPd&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,American Museum of Natural History,"{'lat': 40.78132409999999, 'lng': -73.9739882}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWo64qN05HtG8rnJ9MMRoiiG7ewQXqFFs8yjr4BaaQgWPnRbNfe1qIA2jJrOQhIbrcIPGxz6aV6NicZ8hxNjR5GRUAGou20EtYggMB6Rr34TZH0d1Snmo49PjMijSeKtRvz3EI5b8DVv4WR39fnAv4E59X_t9x5NoCltCbmLJq-NJHO0&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Empire State Building,"{'lat': 40.7484405, 'lng': -73.98566439999999}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWoJgPMyPEIlTZQH2S3nF6kLA13S_NcX6T_b7XKuVMRpYt3EHiBOYj2Q2sT7keFyvqY4G7qT3W5pxUV1Va5U659qnQOZuV83XtiSGj4gN4hyY9r1siLFZjLUWyiV7cDMwcQEoCeaOqpRmNMbWqCumkF4o8n60pGmJr4yYMNtPZ-fBii-&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,New York,Solomon R. Guggenheim Museum,"{'lat': 40.7829796, 'lng': -73.9589706}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.3,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrITfwzQ423_R38GVQeXw4d800W07JVbdPrqBuY0NDX-1gmnO4U5fiUQo4DcVyUqXckH7pablEVYyMHcJHzNujKxilz9GUx9e6sfX9Ye92fg0GLRip6KVhflCnF5Nd59zmPhQWz8VEGj6NCsWI3jfOKKPC6Pnki8GvIy9i37QlSAQ7W&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
